Genotype.y,biol_rep,name,gen_n,pop_dapc8,pop_dapc8_n,pop_dapc8_ID,ID,Genotype,pop_dapc5,Lat,Long,Alt,Country,Ac_ara,Ac_gal,Ac_glc,Ac_xyl,Ac_man,Ac_cel,Ara,Gal,Glc,Xyl,Man,Cel,AraEnz,GlcEnz,XylEnz,AraEnz_p,GlcEnz_p,XylEnz_p,AraE,GlcE,XylE,AraE_DW,GlcE_DW,XylE_DW,ADF,NDF,ADL,Ash,DM,K_Lignin,Cellulose,Hemicellulose,CelHem,XylAra,ManGal,XylGlc,DWL,DWS,LSR,DW,GlcE_harv
Mb424#8,1,Goronwy,28,Lut,8,M8,M8.08,Mb424,3,29.4283,113.066,22,China,1.344266667,0.80125,14.6289,12.45513333,2.493366667,NA,3.823120925,2.286306357,41.61543536,35.42864672,7.098244966,NA,0.503733333,10.2385017,3.6862047,0.098684672,1.779667309,0.72587084,2.574962992,4.275813508,2.051037333,0.665134689,11.99495766,4.892369462,55.11,88.1,8.36,3.01,93.35,19.45,46.75,32.99,1.41709609,9.266943793,3.104677965,0.851334281,4.19,57.96,0.07,0.674,11.99495766
Mb424#8,2,Goronwy,28,Lut,8,M8,M8.08,Mb424,3,29.4283,113.066,22,China,0.499733333,0.107366667,13.74776667,10.07383333,0.568733333,NA,1.423594556,0.305953314,39.15431802,28.69204901,1.615207647,NA,0.471533333,7.523874,2.92407345,0.093266999,1.252202596,0.579677573,6.550584481,3.192443459,2.017789155,0.478459707,6.423799317,2.973745948,57.31,86.17,10.21,3.06,94.19,21.04,47.1,28.86,1.632016632,20.15464929,5.279261812,0.732793992,11.58,192.92,0.06,0.513,6.423799317
Mb424#8,3,Goronwy,28,Lut,8,M8,M8.08,Mb424,3,29.4283,113.066,22,China,0.568366667,0.1731,14.2958,11.58476667,0.426033333,NA,1.653957407,0.503822489,41.60083609,33.71126245,1.241499093,NA,0.598933333,11.56670578,4.6288187,0.117664115,2.028124033,0.906962338,7.111339895,4.879677804,2.691439067,0.067068546,1.156030699,0.516968533,52.14,85.15,8.14,3.66,93.65,19.65,44,33.01,1.332929415,20.38218294,2.46415974,0.810350599,NA,NA,NA,0.057,1.156030699
Mb415#1,1,Govannon,27,Lut,8,M8,M8.07,Mb415,3,28.8824,112.439,30,China,1.1449,0.578666667,14.72916667,10.62686667,1.2034,NA,3.254513336,1.644184487,41.86258142,30.20375377,3.426994494,NA,4.390833333,6.5647338,2.17384938,0.871787567,1.073246455,0.435732217,2.691956654,2.574939402,1.449216997,9.18864096,11.31201764,4.592617564,62.71,87.77,13.29,1.89,95.06,23.87,49.42,25.06,1.972067039,9.28057459,2.084312631,0.721497642,3.8,241.98,0.02,1.054,11.31201764
Mb415#1,2,Govannon,27,Lut,8,M8,M8.07,Mb415,3,28.8824,112.439,30,China,0.551433333,0.134566667,14.78893333,9.716833333,0.644633333,NA,1.559116091,0.380719928,41.80910548,27.4689452,1.823760122,NA,0.399333333,7.805822173,2.2829565,0.077745618,1.288229332,0.446041743,5.004263659,3.090923106,1.630151046,0.314869754,5.217328793,1.806469059,57.37,85.28,11.13,2.07,94.09,21.75,46.24,27.91,1.656753852,17.61828087,4.790293304,0.65700868,4.77,224.55,0.02,0.405,5.217328793
Mb415#1,3,Govannon,27,Lut,8,M8,M8.07,Mb415,3,28.8824,112.439,30,China,0.672566667,0.207733333,14.36426667,10.76736667,0.335766667,NA,1.925665957,0.594941613,41.11952676,30.81883881,0.961031294,NA,0.3818,10.40325893,3.0205692,0.075715003,1.809194274,0.594184734,3.883143514,4.399360629,1.928051906,0.069657803,1.664458732,0.546649955,57.63,90.25,9.43,1.78,95.4,20.1,48.2,32.62,1.477621091,16.0042497,1.615337157,0.749494005,NA,NA,NA,0.092,1.664458732
Mb1082#41,1,Gwalchmei,29,Lut,8,M8,M8.09,Mb1082,3,28.5942,112.015,22,China,NA,0.2886,14.22346667,10.97713333,1.382133333,NA,NA,0.831966132,41.11232917,31.7259946,3.960039588,NA,0.380033333,10.68131988,2.8206222,0.076185902,1.890631949,0.562709422,NA,4.60615798,1.774701229,0.505874391,12.55379614,3.73639056,59.09,87.34,10.02,2.86,93.08,20.45,49.07,28.25,1.73699115,NA,4.759856724,0.771690518,1.6,92.58,0.02,0.664,12.55379614
Mb1082#41,2,Gwalchmei,29,Lut,8,M8,M8.09,Mb1082,3,28.5942,112.015,22,China,0.607966667,0.182133333,14.38163333,10.52006667,0.360166667,NA,1.74252923,0.522203191,41.16786112,30.11442037,1.031468058,NA,0.5171,15.03540696,5.999323,0.099458347,2.672294476,1.157727962,6.446380382,6.491075208,3.848691666,0.232732531,6.253169073,2.709083432,60.25,89.47,9.24,3.01,93.06,20.11,51.01,29.22,1.745722108,17.28201734,1.975223582,0.731503157,0,0,NA,0.234,6.253169073
Mb1082#41,3,Gwalchmei,29,Lut,8,M8,M8.09,Mb1082,3,28.5942,112.015,22,China,0.5904,0.1693,15.67493333,11.9941,0.273866667,NA,1.688465587,0.484185757,44.82877324,34.30209144,0.783122736,NA,0.67085,16.34118607,5.551953,0.133703392,3.012505635,1.105564581,7.898724907,6.721731133,3.221998947,0.18451068,4.157257777,1.525679122,57.72,89.49,8.15,2.6,94.51,19.19,49.57,31.77,1.560276991,20.31554075,1.617401429,0.765180239,NA,NA,NA,0.138,4.157257777
Mb1077#44,1,Gwydion,25,Lut,8,M8,M8.05,Mb1077,3,28.5522,112.092,31,China,1.001966667,0.439633333,15.06083333,10.68303333,0.925633333,NA,2.853345701,1.241059508,42.9829335,30.48786384,2.607076284,NA,0.326366667,7.9837121,2.09077,0.065630089,1.363843772,0.421071981,2.408543145,3.171491038,1.380211058,1.001515163,20.81225597,6.425558425,61.24,85.57,12.58,2.07,93.53,23.18,48.66,24.33,2,10.68495269,2.100685959,0.709301608,7.21,69.65,0.1,1.526,20.81225597
