accession;geno;species;pop_dapc8;pop_dapc5;Lat;Long;Soil.all;TAA;TRD;TIA;TSA;TMA;TmA.1;TRA;TWeQ;TDQ;TWaQ;TCQ;PTA;PWM;PDM;PSA;PWeQ;PDQ;PWaQ;PCQ;T_GR;T_SA;T_SI;T_CL;T_RB;T_BD;T_OC;T_PH;T_CE;T_CS;T_BS;T_TE;T_CA;T_CO;T_ES;T_EC;S_GR;S_SA;S_SI;S_CL;S_RD;S_BD;S_OC;S_PH;S_CE;S_CS;S_BS;S_TE;S_CA;S_CO;S_ES;S_EC
Mb810;Mb810#11;sacc;Sacc_rob;3;322366;119337;11656;156;79;23;9306;324;-11;335;273;36;273;36;1021;193;30;57;472;110;472;110;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb812;Mb812#42;sacc;Sacc_rob;3;322355;119338;11656;156;79;23;9306;324;-11;335;273;36;273;36;1021;193;30;57;472;110;472;110;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb814;Mb814#41;sacc;Sacc_rob;3;322341;119339;11656;156;79;23;9306;324;-11;335;273;36;273;36;1021;193;30;57;472;110;472;110;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb815;Mb815#47;sacc;Sacc_rob;3;322341;119339;11656;156;79;23;9306;324;-11;335;273;36;273;36;1021;193;30;57;472;110;472;110;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb816;Mb816;sacc;Sacc_rob;3;322341;119339;11656;156;79;23;9306;324;-11;335;273;36;273;36;1021;193;30;57;472;110;472;110;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb817;Mb817#15;sacc;Sacc_rob;3;322341;119339;11656;156;79;23;9306;324;-11;335;273;36;273;36;1021;193;30;57;472;110;472;110;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb819;Mb819#19;sacc;Sacc_rob;3;322336;11934;11656;156;79;23;9306;324;-11;335;273;36;273;36;1021;193;30;57;472;110;472;110;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb83;Mb83;sacc;Sacc_rob;3;362333;126517;0;143;84;27;8332;298;-11;321;219;53;242;44;1404;221;46;48;574;171;543;172;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb836;Mb836#22;sin;Flor_Taiwan;4;185004;109305;11767;249;71;45;2950;315;159;156;264;206;281;206;1362;268;11;82;732;40;461;40;3;60;13;27;14;136;117;47;9;6;28;19;0;0;2;1;3;52;13;35;135;139;37;49;9;4;46;25;0;0;3;1
Mb84;Mb84;sin;Sin_S_Japan;2;351667;127083;4352;123;103;28;9203;298;-59;357;239;2;239;2;1427;295;34;72;756;119;756;119;18;42;365;215;14;13;1425;635;36;135;685;985;195;0;25;1;20;45;35;20;142;137;5;52;36;9;33;26;0;0;1;1
Mb85;Mb85;sin;Sin_S_Japan;2;353333;127533;4352;94;106;29;9090;268;-9;358;208;-26;208;-26;1587;338;33;75;858;122;858;122;18;42;365;215;14;13;1425;635;36;135;685;985;195;0;25;1;20;45;35;20;142;137;5;52;36;9;33;26;0;0;1;1
